"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice","Order","PID","Longitude","Latitude"
1,60,"RL",65,8450,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","BrkFace",196,"Gd","TA","PConc","Gd","TA","No","GLQ",706,"Unf",0,150,856,"GasA","Ex","Y","SBrkr",856,854,0,1710,1,0,2,1,3,1,"Gd",8,"Typ",0,NA,"Attchd",2003,"RFn",2,548,"TA","TA","Y",0,61,0,0,0,0,NA,NA,NA,0,2,2008,"WD","Normal",208500,1474,907405140,-93.686931,42.013952
2,20,"RL",80,9600,"Pave",NA,"Reg","Lvl","AllPub","FR2","Gtl","Veenker","Feedr","Norm","1Fam","1Story",6,8,1976,1976,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","Gd","TA","Gd","ALQ",978,"Unf",0,284,1262,"GasA","Ex","Y","SBrkr",1262,0,0,1262,0,1,2,0,3,1,"TA",6,"Typ",1,"TA","Attchd",1976,"RFn",2,460,"TA","TA","Y",298,0,0,0,0,0,NA,NA,NA,0,5,2007,"WD","Normal",181500,1860,533254130,-93.645544,42.042961
3,60,"RL",68,11250,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2001,2002,"Gable","CompShg","VinylSd","VinylSd","BrkFace",162,"Gd","TA","PConc","Gd","TA","Mn","GLQ",486,"Unf",0,434,920,"GasA","Ex","Y","SBrkr",920,866,0,1786,1,0,2,1,3,1,"Gd",6,"Typ",1,"TA","Attchd",2001,"RFn",2,608,"TA","TA","Y",0,42,0,0,0,0,NA,NA,NA,0,9,2008,"WD","Normal",223500,1444,907196050,-93.68895,42.015949
4,70,"RL",60,9550,"Pave",NA,"IR1","Lvl","AllPub","Corner","Gtl","Crawfor","Norm","Norm","1Fam","2Story",7,5,1915,1970,"Gable","CompShg","Wd Sdng","Wd Shng","None",0,"TA","TA","BrkTil","TA","Gd","No","ALQ",216,"Unf",0,540,756,"GasA","Gd","Y","SBrkr",961,756,0,1717,1,0,1,0,3,1,"Gd",7,"Typ",1,"Gd","Detchd",1998,"Unf",3,642,"TA","TA","Y",0,35,272,0,0,0,NA,NA,NA,0,2,2006,"WD","Abnorml",140000,2858,909275230,-93.644307,42.017609
5,60,"RL",84,14260,"Pave",NA,"IR1","Lvl","AllPub","FR2","Gtl","NoRidge","Norm","Norm","1Fam","2Story",8,5,2000,2000,"Gable","CompShg","VinylSd","VinylSd","BrkFace",350,"Gd","TA","PConc","Gd","TA","Av","GLQ",655,"Unf",0,490,1145,"GasA","Ex","Y","SBrkr",1145,1053,0,2198,1,0,2,1,4,1,"Gd",9,"Typ",1,"TA","Attchd",2000,"RFn",3,836,"TA","TA","Y",192,84,0,0,0,0,NA,NA,NA,0,12,2008,"WD","Normal",250000,1101,528326030,-93.653324,42.055748
6,50,"RL",85,14115,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","Mitchel","Norm","Norm","1Fam","1.5Fin",5,5,1993,1995,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","Wood","Gd","TA","No","GLQ",732,"Unf",0,64,796,"GasA","Ex","Y","SBrkr",796,566,0,1362,1,0,1,1,1,1,"TA",5,"Typ",0,NA,"Attchd",1993,"Unf",2,480,"TA","TA","Y",40,30,0,320,0,0,NA,"MnPrv","Shed",700,10,2009,"WD","Normal",143000,986,923400025,-93.609453,41.986502
7,20,"RL",75,10084,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",8,5,2004,2005,"Gable","CompShg","VinylSd","VinylSd","Stone",186,"Gd","TA","PConc","Ex","TA","Av","GLQ",1369,"Unf",0,317,1686,"GasA","Ex","Y","SBrkr",1694,0,0,1694,1,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2004,"RFn",2,636,"TA","TA","Y",255,57,0,0,0,0,NA,NA,NA,0,8,2007,"WD","Normal",307000,1791,528441080,-93.641251,42.053108
8,60,"RL",NA,10382,"Pave",NA,"IR1","Lvl","AllPub","Corner","Gtl","NWAmes","PosN","Norm","1Fam","2Story",7,6,1973,1973,"Gable","CompShg","HdBoard","HdBoard","Stone",240,"TA","TA","CBlock","Gd","TA","Mn","ALQ",859,"BLQ",32,216,1107,"GasA","Ex","Y","SBrkr",1107,983,0,2090,1,0,2,1,3,1,"TA",7,"Typ",2,"TA","Attchd",1973,"RFn",2,484,"TA","TA","Y",235,204,228,0,0,0,NA,NA,"Shed",350,11,2009,"WD","Normal",200000,583,534128010,-93.631971,42.048761
9,50,"RM",51,6120,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","OldTown","Artery","Norm","1Fam","1.5Fin",7,5,1931,1950,"Gable","CompShg","BrkFace","Wd Shng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,952,952,"GasA","Gd","Y","FuseF",1022,752,0,1774,0,0,2,0,2,2,"TA",8,"Min1",2,"TA","Detchd",1931,"Unf",2,468,"Fa","TA","Y",90,0,205,0,0,0,NA,NA,NA,0,4,2008,"WD","Abnorml",129900,1348,903234100,-93.620391,42.031432
10,190,"RL",50,7420,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Artery","Artery","2fmCon","1.5Unf",5,6,1939,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","GLQ",851,"Unf",0,140,991,"GasA","Ex","Y","SBrkr",1077,0,0,1077,1,0,1,0,2,2,"TA",5,"Typ",2,"TA","Attchd",1939,"RFn",1,205,"Gd","TA","Y",0,4,0,0,0,0,NA,NA,NA,0,1,2008,"WD","Normal",118000,1222,534452060,-93.627578,42.034563
11,20,"RL",70,11200,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,5,1965,1965,"Hip","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","Rec",906,"Unf",0,134,1040,"GasA","Ex","Y","SBrkr",1040,0,0,1040,1,0,1,0,3,1,"TA",5,"Typ",0,NA,"Detchd",1965,"Unf",1,384,"TA","TA","Y",0,0,0,0,0,0,NA,NA,NA,0,2,2008,"WD","Normal",129500,1378,905102170,-93.669806,42.033225
12,60,"RL",85,11924,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",9,5,2005,2006,"Hip","CompShg","WdShing","Wd Shng","Stone",286,"Ex","TA","PConc","Ex","TA","No","GLQ",998,"Unf",0,177,1175,"GasA","Ex","Y","SBrkr",1182,1142,0,2324,1,0,3,0,4,1,"Ex",11,"Typ",2,"Gd","BuiltIn",2005,"Fin",3,736,"TA","TA","Y",147,21,0,0,0,0,NA,NA,NA,0,7,2006,"New","Partial",345000,2392,528138030,-93.652334,42.060866
13,20,"RL",NA,12968,"Pave",NA,"IR2","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,6,1962,1962,"Hip","CompShg","HdBoard","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",737,"Unf",0,175,912,"GasA","TA","Y","SBrkr",912,0,0,912,1,0,1,0,2,1,"TA",4,"Typ",0,NA,"Detchd",1962,"Unf",1,352,"TA","TA","Y",140,0,0,0,176,0,NA,NA,NA,0,9,2008,"WD","Normal",144000,1151,532353050,-93.675743,42.035179
14,20,"RL",91,10652,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2006,2007,"Gable","CompShg","VinylSd","VinylSd","Stone",306,"Gd","TA","PConc","Gd","TA","Av","Unf",0,"Unf",0,1494,1494,"GasA","Ex","Y","SBrkr",1494,0,0,1494,0,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2006,"RFn",3,840,"TA","TA","Y",160,33,0,0,0,0,NA,NA,NA,0,8,2007,"New","Partial",279500,2101,906378170,-93.691248,42.025594
15,20,"RL",NA,10920,"Pave",NA,"IR1","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,5,1960,1960,"Hip","CompShg","MetalSd","MetalSd","BrkFace",212,"TA","TA","CBlock","TA","TA","No","BLQ",733,"Unf",0,520,1253,"GasA","TA","Y","SBrkr",1253,0,0,1253,1,0,1,1,2,1,"TA",5,"Typ",1,"Fa","Attchd",1960,"RFn",1,352,"TA","TA","Y",0,213,176,0,0,0,NA,"GdWo",NA,0,5,2008,"WD","Normal",157000,1264,535426260,-93.605659,42.038686
16,45,"RM",51,6120,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Norm","Norm","1Fam","1.5Unf",7,8,1929,2001,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,832,832,"GasA","Ex","Y","FuseA",854,0,0,854,0,0,1,0,2,1,"TA",5,"Typ",0,NA,"Detchd",1991,"Unf",2,576,"TA","TA","Y",48,112,0,0,0,0,NA,"GdPrv",NA,0,7,2007,"WD","Normal",132000,2019,903233140,-93.6224,42.031321
17,20,"RL",NA,11241,"Pave",NA,"IR1","Lvl","AllPub","CulDSac","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,7,1970,1970,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",180,"TA","TA","CBlock","TA","TA","No","ALQ",578,"Unf",0,426,1004,"GasA","Ex","Y","SBrkr",1004,0,0,1004,1,0,1,0,2,1,"TA",5,"Typ",1,"TA","Attchd",1970,"Fin",2,480,"TA","TA","Y",0,0,0,0,0,0,NA,NA,"Shed",700,3,2010,"WD","Normal",149000,24,527402200,-93.626231,42.055147
18,90,"RL",72,10791,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","Duplex","1Story",4,5,1967,1967,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","Slab",NA,NA,NA,NA,0,NA,0,0,0,"GasA","TA","Y","SBrkr",1296,0,0,1296,0,0,2,0,2,2,"TA",6,"Typ",0,NA,"CarPort",1967,"Unf",2,516,"TA","TA","Y",0,0,0,0,0,0,NA,NA,"Shed",500,10,2006,"WD","Normal",90000,2707,905101330,-93.671213,42.033388
