Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,X1stFlrSF,X2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,X3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,Longitude,Latitude,county,tract,blkgrp,HIMEDBYX,HIAVGBYX,INCPHMBYX,VACANTHUBY,POPDENBY,CAPINCBY,HHCHG2KBY,POPCH2KBY,MEDINC2KBY,ED10HSCHBYX,NOHSDIPBY,COLNODEGBY,COLLDEGBY,PRODEGBY,FC15OF18BYX,ECPOP16PBYX,HVMEDBY,HVAVGBY,MS03PMARBYX,WHTPOPBYX,POPBYX,P0004BYX,P0509BYX,P1014BYX,P1519BYX,P2024BYX,P2529BYX,P3034BYX,P3539BYX,P4044BYX,P4549BYX,P5054BYX,P5559BYX,P6064BYX,P6569BYX,P7074BYX,P7579BYX,P8084BYX,P85PBYX,POPBY,HHBY
1,60,RL,65.0,8450,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,706,Unf,0,150,856,GasA,Ex,Y,SBrkr,856,854,0,1710,1,0,2,1,3,1,Gd,8,Typ,0,,Attchd,2003.0,RFn,2,548,TA,TA,Y,0,61,0,0,0,0,,,,0,2,2008,WD,Normal,208500,-93.686931,42.013952,169,001301,3,27022.809523809527,38171.799912049246,16699.24451712197,116.0,5679.5115732919585,16699.24451712197,2.685575364667747,2.1181763647270544,-0.152921155896377,0.060266292922214436,0.019621583742116328,0.12473721093202522,0.6152768044849335,0.18009810791871056,0.02154793315743184,1.0,220700.99999999997,207378.0,0.11814259297308402,0.8634090034628703,1.0,0.03308964986533282,0.01692958830319354,0.013659099653712968,0.06483262793382072,0.5969603693728357,0.12389380530973453,0.04193920738745671,0.023085802231627546,0.0119276644863409,0.013081954597922276,0.010773374374759524,0.007502885725278953,0.007310504040015391,0.006540977298961139,0.005386687187379761,0.004424778761061947,0.00596383224317045,0.012697191227395151,5198.000000000001,2274.0
2,20,RL,80.0,9600,Pave,,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978,Unf,0,284,1262,GasA,Ex,Y,SBrkr,1262,0,0,1262,0,1,2,0,3,1,TA,6,Typ,1,TA,Attchd,1976.0,RFn,2,460,TA,TA,Y,298,0,0,0,0,0,,,,0,5,2007,WD,Normal,181500,-93.645544,42.042961,169,000100,6,85564.47619047617,96885.6,41348.027716535435,43.0,3010.7715839258008,41348.027716535435,1.6057692307692308,0.98378041172801,0.02473653804807463,0.05298329355608592,0.005727923627684964,0.15083532219570409,0.2773269689737469,0.5131264916467781,0.03025830258302583,1.0,263202.0,278734.99999999994,0.6580570547417116,0.7770440251572326,1.0,0.05377358490566037,0.06635220125786163,0.06415094339622641,0.056918238993710686,0.1,0.09025157232704402,0.06918238993710693,0.06320754716981132,0.07012578616352201,0.07830188679245281,0.0669811320754717,0.06635220125786163,0.052830188679245285,0.038364779874213835,0.018553459119496855,0.018238993710691823,0.011635220125786164,0.014779874213836478,3180.0,1355.0
3,60,RL,68.0,11250,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,486,Unf,0,434,920,GasA,Ex,Y,SBrkr,920,866,0,1786,1,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,2001.0,RFn,2,608,TA,TA,Y,0,42,0,0,0,0,,,,0,9,2008,WD,Normal,223500,-93.68895,42.015949,169,001301,3,27022.809523809527,38171.799912049246,16699.24451712197,116.0,5679.5115732919585,16699.24451712197,2.685575364667747,2.1181763647270544,-0.152921155896377,0.060266292922214436,0.019621583742116328,0.12473721093202522,0.6152768044849335,0.18009810791871056,0.02154793315743184,1.0,220700.99999999997,207378.0,0.11814259297308402,0.8634090034628703,1.0,0.03308964986533282,0.01692958830319354,0.013659099653712968,0.06483262793382072,0.5969603693728357,0.12389380530973453,0.04193920738745671,0.023085802231627546,0.0119276644863409,0.013081954597922276,0.010773374374759524,0.007502885725278953,0.007310504040015391,0.006540977298961139,0.005386687187379761,0.004424778761061947,0.00596383224317045,0.012697191227395151,5198.000000000001,2274.0
4,70,RL,60.0,9550,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,216,Unf,0,540,756,GasA,Gd,Y,SBrkr,961,756,0,1717,1,0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,1998.0,Unf,3,642,TA,TA,Y,0,35,272,0,0,0,,,,0,2,2006,WD,Abnorml,140000,-93.644307,42.017609,169,001100,3,114533.88372093024,145344.5,61223.056384742944,5.0,5090.648985229456,61223.056384742944,0.011952191235059759,-0.2055961070559611,0.6390772896080325,0.07803468208092486,0.0,0.023121387283236997,0.2832369942196532,0.615606936416185,0.01968503937007874,1.0,187162.0,204247.0,0.4610051993067591,0.9494640122511486,1.0,0.03828483920367534,0.033690658499234305,0.0444104134762634,0.06584992343032159,0.28790199081163853,0.05206738131699847,0.055130168453292494,0.03981623277182236,0.04594180704441042,0.05206738131699847,0.04747320061255743,0.06278713629402756,0.05972434915773354,0.04287901990811639,0.02603369065849924,0.021439509954058196,0.015313935681470138,0.009188361408882085,653.0,254.0
5,60,RL,84.0,14260,Pave,,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,655,Unf,0,490,1145,GasA,Ex,Y,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,2000.0,RFn,3,836,TA,TA,Y,192,84,0,0,0,0,,,,0,12,2008,WD,Normal,250000,-93.653324,42.055748,169,000100,6,85564.47619047617,96885.6,41348.027716535435,43.0,3010.7715839258008,41348.027716535435,1.6057692307692308,0.98378041172801,0.02473653804807463,0.05298329355608592,0.005727923627684964,0.15083532219570409,0.2773269689737469,0.5131264916467781,0.03025830258302583,1.0,263202.0,278734.99999999994,0.6580570547417116,0.7770440251572326,1.0,0.05377358490566037,0.06635220125786163,0.06415094339622641,0.056918238993710686,0.1,0.09025157232704402,0.06918238993710693,0.06320754716981132,0.07012578616352201,0.07830188679245281,0.0669811320754717,0.06635220125786163,0.052830188679245285,0.038364779874213835,0.018553459119496855,0.018238993710691823,0.011635220125786164,0.014779874213836478,3180.0,1355.0
6,50,RL,85.0,14115,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,Wood,Gd,TA,No,GLQ,732,Unf,0,64,796,GasA,Ex,Y,SBrkr,796,566,0,1362,1,0,1,1,1,1,TA,5,Typ,0,,Attchd,1993.0,Unf,2,480,TA,TA,Y,40,30,0,320,0,0,,MnPrv,Shed,700,10,2009,WD,Normal,143000,-93.609453,41.986502,169,001302,2,53883.89208633094,68471.5,27975.34889058914,38.0,317.3718134664986,27975.34889058914,0.4957983193277311,0.3265822784810126,-0.03561778132349694,0.1486666666666667,0.016666666666666666,0.278,0.4113333333333333,0.1453333333333333,0.04213483146067416,1.0,163398.99999999997,206592.0,0.5032080659945004,0.9026717557251906,1.0,0.06297709923664122,0.05305343511450382,0.051145038167938923,0.06755725190839695,0.19274809160305345,0.116412213740458,0.07290076335877863,0.06259541984732825,0.04465648854961832,0.050763358778625964,0.05534351145038168,0.06450381679389312,0.037786259541984724,0.020229007633587787,0.020229007633587787,0.012595419847328244,0.009923664122137405,0.004580152671755725,2620.0,1068.0
7,20,RL,75.0,10084,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1369,Unf,0,317,1686,GasA,Ex,Y,SBrkr,1694,0,0,1694,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2004.0,RFn,2,636,TA,TA,Y,255,57,0,0,0,0,,,,0,8,2007,WD,Normal,307000,-93.641251,42.053108,169,000100,6,85564.47619047617,96885.6,41348.027716535435,43.0,3010.7715839258008,41348.027716535435,1.6057692307692308,0.98378041172801,0.02473653804807463,0.05298329355608592,0.005727923627684964,0.15083532219570409,0.2773269689737469,0.5131264916467781,0.03025830258302583,1.0,263202.0,278734.99999999994,0.6580570547417116,0.7770440251572326,1.0,0.05377358490566037,0.06635220125786163,0.06415094339622641,0.056918238993710686,0.1,0.09025157232704402,0.06918238993710693,0.06320754716981132,0.07012578616352201,0.07830188679245281,0.0669811320754717,0.06635220125786163,0.052830188679245285,0.038364779874213835,0.018553459119496855,0.018238993710691823,0.011635220125786164,0.014779874213836478,3180.0,1355.0
8,60,RL,,10382,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859,BLQ,32,216,1107,GasA,Ex,Y,SBrkr,1107,983,0,2090,1,0,2,1,3,1,TA,7,Typ,2,TA,Attchd,1973.0,RFn,2,484,TA,TA,Y,235,204,228,0,0,0,,,Shed,350,11,2009,WD,Normal,200000,-93.631971,42.048761,169,000300,1,96278.76190476186,112612.0,43571.70370370369,10.0,3955.7127979425372,43571.70370370369,0.0,-0.08110065170166547,0.2490379797977301,0.05800214822771214,0.010741138560687431,0.13856068743286787,0.39849624060150374,0.3941997851772288,0.010183299389002035,1.0,191770.0,189849.00000000003,0.6305609284332687,0.950354609929078,1.0,0.046493301812450746,0.07092198581560284,0.0677698975571316,0.05831363278171789,0.022852639873916468,0.02679275019700552,0.0338849487785658,0.05988967691095351,0.06304176516942474,0.06934594168636721,0.09535066981875491,0.10717100078802208,0.07880220646178092,0.07249802994483845,0.06225374310480693,0.029944838455476755,0.02048857368006304,0.014184397163120569,1269.0,491.0
9,50,RM,51.0,6120,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,952,952,GasA,Gd,Y,FuseF,1022,752,0,1774,0,0,2,0,2,2,TA,8,Min1,2,TA,Detchd,1931.0,Unf,2,468,Fa,TA,Y,90,0,205,0,0,0,,,,0,4,2008,WD,Abnorml,129900,-93.620391,42.031432,169,000900,1,72843.82758620691,89442.50088495576,41018.679383116876,35.0,4078.884219798615,41018.679383116876,-0.043993231810490696,-0.12357954545454546,0.4038328969133989,0.1345496009122007,0.052451539338654506,0.15279361459521096,0.37856328392246286,0.2816419612314709,0.035398230088495575,1.0,146078.0,207887.99999999997,0.5317307692307692,0.9351701782820095,1.0,0.060777957860615885,0.04862236628849271,0.04781199351701783,0.050243111831442464,0.08184764991896272,0.10372771474878445,0.08427876823338736,0.04943273905996758,0.04619124797406808,0.06320907617504051,0.08103727714748783,0.0899513776337115,0.07455429497568881,0.04457050243111831,0.023500810372771474,0.024311183144246355,0.013776337115072932,0.012155591572123177,1234.0,565.0
10,190,RL,50.0,7420,Pave,,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,851,Unf,0,140,991,GasA,Ex,Y,SBrkr,1077,0,0,1077,1,0,1,0,2,2,TA,5,Typ,2,TA,Attchd,1939.0,RFn,1,205,Gd,TA,Y,0,4,0,0,0,0,,,,0,1,2008,WD,Normal,118000,-93.627578,42.034563,169,000900,1,72843.82758620691,89442.50088495576,41018.679383116876,35.0,4078.884219798615,41018.679383116876,-0.043993231810490696,-0.12357954545454546,0.4038328969133989,0.1345496009122007,0.052451539338654506,0.15279361459521096,0.37856328392246286,0.2816419612314709,0.035398230088495575,1.0,146078.0,207887.99999999997,0.5317307692307692,0.9351701782820095,1.0,0.060777957860615885,0.04862236628849271,0.04781199351701783,0.050243111831442464,0.08184764991896272,0.10372771474878445,0.08427876823338736,0.04943273905996758,0.04619124797406808,0.06320907617504051,0.08103727714748783,0.0899513776337115,0.07455429497568881,0.04457050243111831,0.023500810372771474,0.024311183144246355,0.013776337115072932,0.012155591572123177,1234.0,565.0
