actual,prediction
134000.0 , 145097.531825
114504.0 , 110889.320264
127000.0 , 121847.021029
127500.0 , 121596.835688
195500.0 , 201521.042523
245700.0 , 248336.123019
140000.0 , 160429.008939
175000.0 , 175780.568415
80000.0 , 91858.9596309
301500.0 , 302634.463199
156500.0 , 152391.248986
170000.0 , 160418.177208
207000.0 , 207348.201661
129900.0 , 127340.823075
85500.0 , 92028.2667159
160000.0 , 166049.411873
99900.0 , 103599.890477
120500.0 , 119477.039385
126000.0 , 104668.785117
175900.0 , 170165.487618
163000.0 , 140160.96461
105000.0 , 120255.428813
96500.0 , 99151.2999032
169000.0 , 163351.198094
106500.0 , 108365.255592
153000.0 , 172381.644108
117000.0 , 133785.616663
119000.0 , 105992.643542
119000.0 , 129632.113457
84900.0 , 99141.484525
115000.0 , 125921.370126
375000.0 , 336181.019267
204000.0 , 216480.690282
270000.0 , 243698.763214
246900.0 , 239705.766395
188000.0 , 164734.340388
120000.0 , 121866.489837
149000.0 , 126062.308932
187500.0 , 172973.271621
221370.0 , 211477.542391
103000.0 , 107906.806904
232000.0 , 246334.893069
144000.0 , 140515.847046
205000.0 , 226461.932595
129000.0 , 138646.252438
113000.0 , 114543.140401
139000.0 , 133073.533987
142953.0 , 134023.371398
211000.0 , 203966.2635
174000.0 , 181678.415782
63000.0 , 88433.0256967
128000.0 , 122415.456785
143500.0 , 137609.236567
236000.0 , 229459.210921
271900.0 , 267792.113932
130000.0 , 140465.430701
131750.0 , 131534.02143
87000.0 , 96544.4570884
146000.0 , 131618.114515
80000.0 , 84833.8982353
195500.0 , 192971.710087
128000.0 , 127264.523095
135000.0 , 132443.594787
269500.0 , 269699.569737
252000.0 , 257192.507254
89500.0 , 101738.803553
135000.0 , 128317.139324
107400.0 , 98500.7841009
193879.0 , 203573.591897
126000.0 , 131617.856348
89500.0 , 100006.137535
155000.0 , 176394.926744
119000.0 , 120243.907401
155000.0 , 146423.243715
116500.0 , 117751.172939
165000.0 , 171229.678895
110000.0 , 112768.230948
221500.0 , 244894.761482
210000.0 , 182874.967179
421250.0 , 357429.291634
76500.0 , 113031.140292
185000.0 , 195230.667081
166000.0 , 172379.389353
124000.0 , 115854.344398
142600.0 , 146342.608011
156820.0 , 177045.441281
262280.0 , 256864.779522
232600.0 , 236316.119532
319000.0 , 329867.689889
180000.0 , 167313.515905
334000.0 , 304825.873187
223500.0 , 191921.001896
148000.0 , 159868.781311
157000.0 , 173981.257209
310000.0 , 314753.749581
158900.0 , 142822.84007
67000.0 , 69786.0515156
167000.0 , 160900.043993
245000.0 , 239443.912862
119500.0 , 126190.181388
146000.0 , 132620.627046
100000.0 , 114277.25816
190000.0 , 181615.061003
119500.0 , 121295.336568
142500.0 , 145178.184435
145000.0 , 155625.824913
102900.0 , 116519.484384
217000.0 , 230915.254047
201000.0 , 219278.470651
139500.0 , 127094.347927
360000.0 , 302049.415734
128600.0 , 132498.358976
197000.0 , 215787.955401
162900.0 , 144877.519386
196500.0 , 196348.256068
85000.0 , 89059.4116122
