actual,prediction
134000.0 , 144561.08796
114504.0 , 111683.672437
127000.0 , 120381.828591
127500.0 , 119963.576743
195500.0 , 201614.271814
245700.0 , 249854.061278
140000.0 , 161353.268562
175000.0 , 173608.253648
80000.0 , 89800.3533442
301500.0 , 307841.484406
156500.0 , 155269.064559
170000.0 , 161834.390901
207000.0 , 205945.61134
129900.0 , 127606.871225
85500.0 , 90243.0117248
160000.0 , 164803.099092
99900.0 , 102620.842833
120500.0 , 121405.417066
126000.0 , 106828.597702
175900.0 , 170007.404346
163000.0 , 140223.074388
105000.0 , 119718.184612
96500.0 , 101279.485537
169000.0 , 163515.871749
106500.0 , 109872.740212
153000.0 , 172784.42147
117000.0 , 137754.410762
119000.0 , 104901.199836
119000.0 , 131185.959875
84900.0 , 102018.527228
115000.0 , 124297.333378
375000.0 , 319779.617183
204000.0 , 215998.278432
270000.0 , 243692.147533
246900.0 , 236710.461669
188000.0 , 164516.381776
120000.0 , 124445.898915
149000.0 , 127802.732601
187500.0 , 172186.413458
221370.0 , 210475.745162
103000.0 , 106460.521387
232000.0 , 243020.30682
144000.0 , 138321.615114
205000.0 , 224357.317771
129000.0 , 140106.767848
113000.0 , 116931.019187
139000.0 , 132355.807417
142953.0 , 132407.018216
211000.0 , 202422.273053
174000.0 , 184124.284656
63000.0 , 99783.911258
128000.0 , 120447.093766
143500.0 , 137399.179433
236000.0 , 228683.756965
271900.0 , 264513.1983
130000.0 , 142542.713906
131750.0 , 130243.000956
87000.0 , 93531.8710872
146000.0 , 132979.223648
80000.0 , 82920.2742003
195500.0 , 194157.749488
128000.0 , 129903.424358
135000.0 , 127388.695891
269500.0 , 270769.294835
252000.0 , 258408.794521
89500.0 , 100777.893857
135000.0 , 127073.045076
107400.0 , 99106.5293798
193879.0 , 199291.571698
126000.0 , 130719.818642
89500.0 , 99706.4511757
155000.0 , 180992.207402
119000.0 , 121008.964097
155000.0 , 146324.090674
116500.0 , 117190.993379
165000.0 , 171666.383218
110000.0 , 115136.901245
221500.0 , 246361.687319
210000.0 , 185998.268407
421250.0 , 354548.660939
76500.0 , 115347.498187
185000.0 , 193994.629725
166000.0 , 169911.340719
124000.0 , 118304.581928
142600.0 , 148306.351279
156820.0 , 179407.086124
262280.0 , 255407.422134
232600.0 , 237944.11585
319000.0 , 330328.627384
180000.0 , 166914.024528
334000.0 , 304131.463598
223500.0 , 197479.932191
148000.0 , 156991.148883
157000.0 , 176424.186
310000.0 , 319821.68038
158900.0 , 142990.530202
67000.0 , 69597.3123512
167000.0 , 159840.659008
245000.0 , 241375.618273
119500.0 , 123970.841276
146000.0 , 134002.586664
100000.0 , 112277.362327
190000.0 , 187575.064643
119500.0 , 121281.352302
142500.0 , 145035.993674
145000.0 , 154296.581116
102900.0 , 116802.394259
217000.0 , 229348.075725
201000.0 , 222270.089236
139500.0 , 130851.548915
360000.0 , 303397.505165
128600.0 , 131597.361855
197000.0 , 214913.14013
162900.0 , 148071.864397
196500.0 , 195324.523993
85000.0 , 89273.1370661
94750.0 , 111318.341191
153000.0 , 150203.543385
82500.0 , 104683.965681
148400.0 , 166870.589507
133500.0 , 128191.868972
135500.0 , 129923.460881
295493.0 , 272336.087841
280000.0 , 303033.581771
240900.0 , 232296.171793
189500.0 , 191625.437622
140000.0 , 132055.479934
213250.0 , 202947.776766
94000.0 , 88718.4924317
159000.0 , 155607.700549
110000.0 , 114463.277788
167240.0 , 180493.7103
157000.0 , 151775.53942
92900.0 , 87752.1858663
171000.0 , 186487.312011
128000.0 , 109174.818734
147000.0 , 159940.223581
119164.0 , 124556.44701
170000.0 , 199313.577932
160000.0 , 127638.148198
140000.0 , 148596.967668
311500.0 , 254240.553717
318000.0 , 272408.931177
279500.0 , 285639.652787
180000.0 , 159552.777496
144800.0 , 149117.20429
97500.0 , 125134.662639
177000.0 , 184583.26639
170000.0 , 177108.958662
213000.0 , 208857.889568
235000.0 , 234714.57601
112000.0 , 102628.567256
182000.0 , 186851.466873
310013.0 , 307329.112128
135000.0 , 131913.482451
196500.0 , 194447.072304
117250.0 , 132931.257085
144000.0 , 152305.545371
137500.0 , 147108.554507
46500.0 , 55439.3150145
126000.0 , 146750.45852
359900.0 , 367427.779578
195000.0 , 186775.49861
164000.0 , 173154.791238
129000.0 , 131072.384651
127500.0 , 131474.512711
226000.0 , 217803.919913
213000.0 , 230779.571778
140000.0 , 140649.045344
129000.0 , 183805.917997
115000.0 , 103031.499745
174000.0 , 175486.879358
147500.0 , 146686.515432
124900.0 , 123453.24594
88750.0 , 104937.701699
109500.0 , 111057.758708
157500.0 , 152159.450418
211000.0 , 218246.665872
115000.0 , 110868.232012
140000.0 , 146031.754802
162000.0 , 164044.410145
150000.0 , 146736.817596
68000.0 , 71300.725996
163000.0 , 143773.90302
85000.0 , 63693.388688
230000.0 , 218707.664382
191000.0 , 189621.576431
176000.0 , 193680.882604
150000.0 , 159090.106624
281500.0 , 304125.719791
134500.0 , 151420.579234
183500.0 , 175616.188498
123600.0 , 122518.445211
172500.0 , 169420.874188
300000.0 , 322781.130376
241000.0 , 215395.59415
83500.0 , 92873.8846923
142000.0 , 136466.220064
140000.0 , 134839.50638
387000.0 , 379923.112577
207000.0 , 203084.321515
150000.0 , 150933.222946
153600.0 , 148838.295312
112000.0 , 81133.9832894
202500.0 , 207730.022657
214000.0 , 190292.900004
146500.0 , 145305.743794
282000.0 , 298127.603495
251000.0 , 243425.148163
204000.0 , 197212.028011
99600.0 , 109039.754087
119000.0 , 129130.162874
125000.0 , 139247.023559
81000.0 , 76745.0342113
229000.0 , 205355.173546
244000.0 , 206259.896428
130000.0 , 110763.019751
140000.0 , 131838.985369
51689.0 , 57725.0938014
99900.0 , 91029.7536358
200000.0 , 199525.119487
101800.0 , 105965.415658
173000.0 , 184412.262886
165500.0 , 170670.832801
174900.0 , 162042.742289
135000.0 , 140119.096078
185101.0 , 186671.281168
163500.0 , 158568.312307
147000.0 , 135044.770323
170000.0 , 165424.837357
170000.0 , 167395.782688
316000.0 , 329671.5669
174000.0 , 199065.859275
