actual,prediction
134000.0 , 148183.577237
114504.0 , 114712.276115
127000.0 , 122857.251947
127500.0 , 146623.384029
195500.0 , 199644.629134
245700.0 , 250948.748798
140000.0 , 156078.650229
175000.0 , 149769.253729
80000.0 , 94477.1307344
301500.0 , 309762.091019
156500.0 , 152970.091364
170000.0 , 173563.370613
207000.0 , 205880.498079
129900.0 , 132457.168887
85500.0 , 87662.8511162
160000.0 , 162189.357022
99900.0 , 102130.516589
120500.0 , 118030.796009
126000.0 , 114411.578449
175900.0 , 167057.595835
163000.0 , 146196.635249
105000.0 , 110174.728556
96500.0 , 91118.4472011
169000.0 , 155330.896744
106500.0 , 106992.280398
153000.0 , 165473.259225
117000.0 , 143779.25382
119000.0 , 106853.202567
119000.0 , 134799.730304
84900.0 , 98801.0471849
115000.0 , 126139.636046
375000.0 , 363442.040917
204000.0 , 220166.209575
270000.0 , 267073.62369
246900.0 , 239739.85206
188000.0 , 159538.122208
120000.0 , 121112.107322
149000.0 , 137767.967851
187500.0 , 176568.171494
221370.0 , 211362.376669
103000.0 , 106310.021157
232000.0 , 242526.511078
144000.0 , 145833.572003
205000.0 , 223061.861209
129000.0 , 135472.170815
113000.0 , 119148.950464
139000.0 , 119801.203383
142953.0 , 124993.915881
211000.0 , 208159.890983
174000.0 , 183739.002602
63000.0 , 83165.0249453
128000.0 , 120946.195863
143500.0 , 137330.776966
236000.0 , 228556.297936
271900.0 , 253002.60558
130000.0 , 134706.608228
131750.0 , 121570.801478
87000.0 , 94688.3011083
146000.0 , 134928.976204
80000.0 , 75680.5016192
195500.0 , 194155.958618
128000.0 , 132872.986186
135000.0 , 136342.335317
269500.0 , 275104.468844
252000.0 , 249155.380153
89500.0 , 98416.7269901
135000.0 , 133358.13926
107400.0 , 99221.9059392
193879.0 , 200036.636198
126000.0 , 130031.730367
89500.0 , 95558.5726666
155000.0 , 185089.290682
119000.0 , 119279.027157
155000.0 , 151173.140829
116500.0 , 117807.642721
165000.0 , 160114.898768
110000.0 , 115505.021909
221500.0 , 246311.520373
210000.0 , 193956.511519
421250.0 , 352673.998978
76500.0 , 117827.331163
185000.0 , 192439.472337
166000.0 , 167655.560042
124000.0 , 115060.698035
142600.0 , 138799.382658
156820.0 , 183611.95029
262280.0 , 243965.291295
232600.0 , 233741.25033
319000.0 , 326062.522922
180000.0 , 174289.792131
334000.0 , 303220.236396
223500.0 , 211950.479075
148000.0 , 157731.717341
157000.0 , 171101.940508
310000.0 , 322497.739549
158900.0 , 139209.409704
67000.0 , 75383.3485044
167000.0 , 162957.168
245000.0 , 238697.368369
119500.0 , 126966.954651
146000.0 , 135899.709953
100000.0 , 101195.927649
190000.0 , 208987.245861
119500.0 , 112515.820758
142500.0 , 144064.316092
145000.0 , 152179.418746
102900.0 , 124687.66067
217000.0 , 226125.786623
201000.0 , 222816.289752
139500.0 , 130736.796308
360000.0 , 304124.056816
128600.0 , 132332.193889
197000.0 , 209784.449638
162900.0 , 144287.103169
196500.0 , 196228.619278
85000.0 , 82550.754162
94750.0 , 106385.404912
153000.0 , 150945.396468
82500.0 , 109055.730536
148400.0 , 175878.990023
133500.0 , 121757.080041
135500.0 , 125898.95779
295493.0 , 272036.309942
280000.0 , 299293.340845
240900.0 , 236872.150443
189500.0 , 187225.482787
140000.0 , 137170.50088
213250.0 , 190780.753363
94000.0 , 88692.049994
159000.0 , 154017.915614
110000.0 , 110791.254921
167240.0 , 184381.084399
157000.0 , 165171.231114
92900.0 , 96454.604477
171000.0 , 179583.990658
128000.0 , 109245.604244
147000.0 , 158625.109267
119164.0 , 127056.209679
170000.0 , 194800.61093
160000.0 , 127313.660652
140000.0 , 156570.904738
311500.0 , 271700.408733
318000.0 , 274964.418435
279500.0 , 280023.592477
180000.0 , 169174.369355
144800.0 , 152699.64887
97500.0 , 123731.733192
177000.0 , 184409.845424
170000.0 , 170694.927542
213000.0 , 208303.364187
235000.0 , 235052.500213
112000.0 , 101125.456701
182000.0 , 186794.4238
310013.0 , 302682.791351
135000.0 , 132199.19044
196500.0 , 191753.315527
117250.0 , 133234.595986
144000.0 , 150114.44514
137500.0 , 144993.58496
46500.0 , 54119.9413255
126000.0 , 142501.266492
359900.0 , 358398.306267
195000.0 , 186733.7179
164000.0 , 167263.214395
129000.0 , 133036.482125
127500.0 , 117439.633343
226000.0 , 218299.564698
213000.0 , 232095.611754
140000.0 , 141175.598073
129000.0 , 152900.571324
115000.0 , 105219.50151
174000.0 , 171815.238284
147500.0 , 149470.53462
124900.0 , 147858.286975
88750.0 , 95587.6363327
