actual,prediction
134000.0 , 144836.140503
114504.0 , 109010.167923
127000.0 , 124652.807256
127500.0 , 137104.675797
195500.0 , 197825.108184
245700.0 , 249612.454521
140000.0 , 160416.805619
175000.0 , 161153.66185
80000.0 , 96095.2165767
301500.0 , 307233.91914
156500.0 , 150621.88683
170000.0 , 168160.930635
207000.0 , 205302.041951
129900.0 , 129260.398134
85500.0 , 95161.6812317
160000.0 , 164638.718909
99900.0 , 103967.249434
120500.0 , 117567.86028
126000.0 , 111038.041762
175900.0 , 168497.432932
163000.0 , 144108.970428
105000.0 , 115342.649172
96500.0 , 102100.215566
169000.0 , 156472.72815
106500.0 , 110105.142775
153000.0 , 161536.804977
117000.0 , 136607.54335
119000.0 , 108777.219582
119000.0 , 132940.622348
84900.0 , 96484.0430457
115000.0 , 126623.410313
375000.0 , 344107.247982
204000.0 , 218026.567953
270000.0 , 252086.512083
246900.0 , 243908.266081
188000.0 , 156277.766961
120000.0 , 123073.773476
149000.0 , 131384.004674
187500.0 , 174295.531346
221370.0 , 211283.54403
103000.0 , 104430.16535
232000.0 , 246439.855974
144000.0 , 144296.994923
205000.0 , 221687.54928
129000.0 , 134388.335713
113000.0 , 118392.939413
139000.0 , 120488.945936
142953.0 , 131178.180337
211000.0 , 205702.461654
174000.0 , 180804.965211
63000.0 , 96213.5251936
128000.0 , 121411.1387
143500.0 , 137930.47881
236000.0 , 228214.911622
271900.0 , 252276.772597
130000.0 , 137216.395839
131750.0 , 127230.610661
87000.0 , 94309.1580314
146000.0 , 134551.693503
80000.0 , 81004.0776565
195500.0 , 194266.127593
128000.0 , 131194.034602
135000.0 , 140502.271732
269500.0 , 270342.100149
252000.0 , 250694.13795
89500.0 , 100682.209324
135000.0 , 131359.385662
107400.0 , 98402.8343302
193879.0 , 201756.735314
126000.0 , 135436.314152
89500.0 , 91397.677287
155000.0 , 182927.904611
119000.0 , 120294.054437
155000.0 , 151925.779085
116500.0 , 117714.904264
165000.0 , 160534.482544
110000.0 , 113328.50039
221500.0 , 248025.586749
210000.0 , 186818.030443
421250.0 , 355662.608275
76500.0 , 114646.790706
185000.0 , 192837.880052
166000.0 , 167544.671568
124000.0 , 116147.313951
142600.0 , 140726.71784
156820.0 , 182953.463069
262280.0 , 246970.613506
232600.0 , 234029.143951
319000.0 , 327338.887023
180000.0 , 171771.47724
334000.0 , 306789.684863
223500.0 , 199429.20519
148000.0 , 158559.703656
157000.0 , 168853.525086
310000.0 , 321768.690849
158900.0 , 135243.208678
67000.0 , 75374.0143681
167000.0 , 162467.105276
245000.0 , 240829.251137
119500.0 , 127691.436217
146000.0 , 135937.460092
100000.0 , 101301.245624
190000.0 , 200272.189517
119500.0 , 114663.872625
142500.0 , 143548.774898
145000.0 , 155347.08129
102900.0 , 121141.375319
217000.0 , 225715.198583
201000.0 , 222686.163437
139500.0 , 123551.889686
360000.0 , 306376.508275
128600.0 , 131421.879235
197000.0 , 212657.877377
162900.0 , 146316.813173
196500.0 , 195789.218314
85000.0 , 84388.7266688
94750.0 , 107002.013594
153000.0 , 149422.371822
82500.0 , 107673.767055
148400.0 , 181614.969754
133500.0 , 123163.232327
135500.0 , 129434.692716
295493.0 , 274643.746426
280000.0 , 302085.723192
