actual,prediction
134000.0 , 146046.076899
114504.0 , 111471.629876
127000.0 , 124425.533218
127500.0 , 136788.372632
195500.0 , 198497.558512
245700.0 , 250933.262379
140000.0 , 160783.08793
175000.0 , 160742.723291
80000.0 , 94227.1591329
301500.0 , 307612.120108
156500.0 , 153106.289588
170000.0 , 169279.022613
207000.0 , 205581.045135
129900.0 , 128036.385612
85500.0 , 90404.3551754
160000.0 , 163850.185213
99900.0 , 103328.52214
120500.0 , 119591.153511
126000.0 , 114080.411058
175900.0 , 168112.852962
163000.0 , 145150.823024
105000.0 , 113158.520867
96500.0 , 102546.568777
169000.0 , 155646.436968
106500.0 , 109578.604493
153000.0 , 162661.678439
117000.0 , 143202.895602
119000.0 , 109094.718534
119000.0 , 133463.880822
84900.0 , 100062.672682
115000.0 , 125105.109721
375000.0 , 347120.905168
204000.0 , 217223.143695
270000.0 , 253830.454576
246900.0 , 242685.088085
188000.0 , 157799.442545
120000.0 , 122394.580225
149000.0 , 134163.627929
187500.0 , 173874.29206
221370.0 , 211671.372788
103000.0 , 105200.819797
232000.0 , 245147.692727
144000.0 , 143165.213739
205000.0 , 222662.708636
129000.0 , 134011.939494
113000.0 , 117951.371381
139000.0 , 120138.938191
142953.0 , 127601.077001
211000.0 , 205554.911606
174000.0 , 181924.847503
63000.0 , 93219.4234291
128000.0 , 120242.358709
143500.0 , 137450.760464
236000.0 , 227614.285128
271900.0 , 254290.786562
130000.0 , 135345.963845
131750.0 , 125377.932594
87000.0 , 97872.4196349
146000.0 , 132028.101638
80000.0 , 78990.2603399
195500.0 , 194314.466541
128000.0 , 131964.684041
135000.0 , 135610.347642
269500.0 , 271589.77519
252000.0 , 250426.540929
89500.0 , 99980.5464468
135000.0 , 131271.726062
107400.0 , 99286.8054445
193879.0 , 203107.279738
126000.0 , 135724.984923
89500.0 , 93128.4520537
155000.0 , 187066.767204
119000.0 , 119983.161211
155000.0 , 149583.891541
116500.0 , 117065.124321
165000.0 , 161023.895481
110000.0 , 115711.587598
221500.0 , 248043.657689
210000.0 , 192006.218231
421250.0 , 356254.124331
76500.0 , 117220.286155
185000.0 , 193013.988227
166000.0 , 166767.643049
124000.0 , 115886.183468
142600.0 , 141747.675632
156820.0 , 183242.976698
262280.0 , 246281.965423
232600.0 , 233784.965525
319000.0 , 325509.049887
180000.0 , 172237.389174
334000.0 , 305253.932301
223500.0 , 206846.140966
148000.0 , 157744.163823
157000.0 , 169705.746089
310000.0 , 321057.087695
158900.0 , 137338.02322
67000.0 , 74163.770516
167000.0 , 162613.745981
245000.0 , 240211.664941
119500.0 , 126971.054409
146000.0 , 135106.237316
100000.0 , 101800.571336
190000.0 , 201245.22484
119500.0 , 114127.950491
142500.0 , 144344.33739
145000.0 , 152813.09116
102900.0 , 120705.271135
217000.0 , 224805.477158
201000.0 , 222611.337255
139500.0 , 130040.263039
360000.0 , 305647.336298
128600.0 , 131710.288256
197000.0 , 211611.477002
162900.0 , 146379.608622
196500.0 , 195848.111369
85000.0 , 83638.6771417
94750.0 , 106985.532882
153000.0 , 149026.01226
82500.0 , 106189.023492
148400.0 , 183586.568959
133500.0 , 121847.307402
135500.0 , 129866.279334
295493.0 , 276655.003141
280000.0 , 300755.611129
240900.0 , 238310.212476
189500.0 , 186928.190448
140000.0 , 138447.489248
213250.0 , 193373.427998
94000.0 , 90789.5545196
159000.0 , 152724.122109
110000.0 , 109877.169572
167240.0 , 183807.308341
157000.0 , 156865.283439
92900.0 , 91573.4600584
171000.0 , 178083.982657
128000.0 , 114010.326362
147000.0 , 160785.638426
119164.0 , 128641.315906
170000.0 , 196943.119172
160000.0 , 136064.129215
140000.0 , 153483.370953
311500.0 , 266958.789533
318000.0 , 273841.270365
279500.0 , 278186.538385
180000.0 , 164791.461765
144800.0 , 151107.432471
97500.0 , 121647.721566
177000.0 , 185314.655804
170000.0 , 171683.30647
213000.0 , 206952.848103
235000.0 , 233283.632032
112000.0 , 104530.122181
182000.0 , 187874.212883
310013.0 , 302258.991925
135000.0 , 132161.719228
196500.0 , 193306.850588
117250.0 , 134146.539533
144000.0 , 151587.432092
137500.0 , 147039.342548
46500.0 , 55088.6270512
126000.0 , 144335.254694
359900.0 , 360962.786077
195000.0 , 185338.751537
164000.0 , 170573.135763
129000.0 , 134501.857837
127500.0 , 117403.572599
226000.0 , 215920.162291
213000.0 , 230567.192995
140000.0 , 142205.466518
129000.0 , 160545.235483
115000.0 , 105946.000007
174000.0 , 173536.35154
147500.0 , 146802.101812
124900.0 , 126248.208952
88750.0 , 101353.342909
109500.0 , 110626.608152
157500.0 , 147572.272595
211000.0 , 226888.821548
115000.0 , 106066.13574
140000.0 , 149313.142695
162000.0 , 161397.774555
150000.0 , 155266.711533
68000.0 , 64802.7573519
163000.0 , 140411.483116
85000.0 , 62055.5222459
230000.0 , 216941.31565
191000.0 , 187126.108114
176000.0 , 191556.037588
150000.0 , 156212.524578
281500.0 , 314136.108769
134500.0 , 145140.974248
183500.0 , 174506.797893
123600.0 , 125814.414853
172500.0 , 178397.802689
300000.0 , 324518.428095
241000.0 , 219404.704166
83500.0 , 90952.6829615
142000.0 , 133767.880429
140000.0 , 138909.250971
387000.0 , 389022.31792
207000.0 , 209727.485152
150000.0 , 150056.477738
153600.0 , 153304.063696
112000.0 , 79047.5709388
202500.0 , 211166.167778
214000.0 , 206316.734893
146500.0 , 145123.602161
282000.0 , 292895.024072
251000.0 , 257727.062606
204000.0 , 202856.575053
99600.0 , 111224.197316
119000.0 , 134797.656009
125000.0 , 142558.638324
81000.0 , 78850.1247309
229000.0 , 210471.262911
244000.0 , 192152.644501
130000.0 , 121381.452413
140000.0 , 136959.044085
51689.0 , 56378.599716
99900.0 , 91476.150752
200000.0 , 201504.389887
101800.0 , 99608.3849074
173000.0 , 191832.641471
165500.0 , 176991.919287
174900.0 , 171099.212465
135000.0 , 135283.112626
185101.0 , 183305.392811
163500.0 , 158767.718859
147000.0 , 135053.000907
170000.0 , 164328.146429
170000.0 , 165456.492447
316000.0 , 332587.462767
174000.0 , 199032.799491
188000.0 , 191540.54401
137000.0 , 127668.945163
240000.0 , 199087.381743
379000.0 , 379961.059024
73000.0 , 79078.6023744
188500.0 , 205019.129622
190000.0 , 192127.193568
230000.0 , 154196.023002
260000.0 , 320704.272501
176000.0 , 173758.01246
135000.0 , 137030.759956
153000.0 , 158052.692539
197900.0 , 195734.572938
140750.0 , 132042.328977
126000.0 , 122719.945041
123000.0 , 120598.625782
257500.0 , 251724.324294
186500.0 , 191994.922551
76500.0 , 78292.9123566
239900.0 , 225293.779486
175000.0 , 151360.044804
157500.0 , 140127.63278
203000.0 , 209576.162304
141000.0 , 140776.029946
173000.0 , 174842.95819
240000.0 , 246087.335023
299800.0 , 327956.580133
110000.0 , 97799.6518239
182000.0 , 198175.440175
130000.0 , 117239.29916
158000.0 , 167165.942027
124000.0 , 114259.761126
112000.0 , 128033.034303
111500.0 , 110380.424978
129900.0 , 117466.862227
204500.0 , 191758.666163
167000.0 , 173279.267213
185000.0 , 197418.419828
212999.0 , 219730.507006
94000.0 , 113642.672257
132000.0 , 134111.9825
174000.0 , 182685.62654
80000.0 , 89564.5857012
335000.0 , 303376.197715
176432.0 , 183204.47483
139000.0 , 157287.73796
144000.0 , 137778.836225
175900.0 , 219543.208808
50000.0 , 66252.3798275
381000.0 , 398073.563551
90350.0 , 109940.752999
212000.0 , 216080.080058
227000.0 , 235152.963414
382500.0 , 383690.499697
163000.0 , 173477.575275
202500.0 , 159653.302406
89500.0 , 100333.637068
165000.0 , 125539.123543
135000.0 , 134079.4059
184000.0 , 178596.604301
137500.0 , 133808.147198
260400.0 , 251885.860044
135000.0 , 132159.553084
126500.0 , 119226.318967
200500.0 , 182807.859266
165500.0 , 153988.055065
151000.0 , 146388.691402
221000.0 , 215235.009098
55000.0 , 73255.0042426
87550.0 , 73391.2957941
284000.0 , 298588.234429
82000.0 , 81161.0631133
114000.0 , 111346.355144
120500.0 , 125011.922581
181316.0 , 171444.883206
181000.0 , 175314.772868
120000.0 , 109033.838181
178000.0 , 178252.234902
122000.0 , 126475.88551
190000.0 , 193949.516177
155000.0 , 146524.481716
266500.0 , 272891.854931
185900.0 , 188077.137956
116000.0 , 123442.823105
230000.0 , 225551.704938
285000.0 , 303224.136393
279700.0 , 240051.851045
137500.0 , 133992.012274
131500.0 , 137991.613929
109900.0 , 110123.395557
162500.0 , 157395.762501
269790.0 , 259005.880924
197000.0 , 198464.196669
141000.0 , 117684.225823
85000.0 , 99196.3598891
219500.0 , 219375.765462
97000.0 , 104499.860974
160500.0 , 167695.178931
140000.0 , 129650.352875
110000.0 , 123833.801065
214000.0 , 215752.061429
152000.0 , 145509.832135
137450.0 , 152904.416723
143000.0 , 154724.641569
250000.0 , 258198.254618
76000.0 , 88617.1416581
285000.0 , 267134.671043
192000.0 , 212374.411183
139950.0 , 140612.816074
335000.0 , 337726.247956
155000.0 , 142842.321307
275000.0 , 293192.071308
147000.0 , 138965.656711
261329.0 , 264838.839932
202900.0 , 219564.886236
409900.0 , 364479.045041
132250.0 , 149146.284752
233170.0 , 219781.489567
108000.0 , 97168.7550602
315000.0 , 318449.719894
93369.0 , 74668.7375011
125000.0 , 107058.399859
130000.0 , 116049.043314
142000.0 , 132701.147783
81400.0 , 86795.5895597
169000.0 , 176067.747982
291000.0 , 288578.607881
189900.0 , 183690.493689
91300.0 , 97967.3801885
116000.0 , 117900.315149
145500.0 , 143985.269284
122250.0 , 109734.087269
170000.0 , 170224.495615
236000.0 , 222597.303599
207000.0 , 212049.414543
215000.0 , 210466.834637
535000.0 , 476000.860214
230000.0 , 221065.892133
147000.0 , 125713.853096
113000.0 , 91443.61912
184000.0 , 183414.834276
348000.0 , 312090.314799
255000.0 , 254380.266671
175000.0 , 179894.824433
196500.0 , 190656.164405
323262.0 , 347846.067405
157000.0 , 154159.154621
130000.0 , 125038.682091
225000.0 , 223285.683119
221300.0 , 238474.721349
259500.0 , 238647.768752
332000.0 , 329985.974904
